action step time_in_state q sp state_reward transition_reward
- 0 2.7259162157528234 0 1 0.0 0.0
[request] 1 4.096399320556069E-4 1 2 1.0 0.0
[request] 2 0.0048063986071302574 2 2 2.0 0.0
[request] 3 0.0027403944211924973 3 2 3.0 0.0
[request] 4 0.003492172928692314 4 2 4.0 0.0
[request] 5 0.0030333147850242935 5 2 5.0 0.0
[request] 6 0.008622486801860795 6 2 6.0 0.0
[request] 7 0.0014234580248051439 7 2 7.0 0.0
[request] 8 0.03407072553607015 8 2 8.0 0.0
[request] 9 0.009814351473632035 9 2 9.0 0.0
[request] 10 0.003426530110489455 10 2 10.0 0.0
[request] 11 0.001303923045719276 11 2 11.0 0.0
[request] 12 0.0027864268414464865 12 2 12.0 0.0
[request] 13 0.005271647720007845 13 2 13.0 0.0
[request] 14 2.425897531096316E-4 14 2 14.0 0.0
[request] 15 3.912633504655514E-5 15 2 15.0 0.0
[request] 16 0.001722576471713621 16 2 16.0 0.0
[request] 17 0.007633310383474524 17 2 17.0 0.0
[request] 18 0.010795921983341993 18 2 18.0 0.0
[request] 19 0.017262981086110765 19 2 19.0 0.0
[request] 20 0.014706044769264306 20 2 20.0 0.0
[request] 21 0.006678832058832022 20 2 20.0 0.0
[request] 22 9.514848660584974E-4 20 2 20.0 0.0
[request] 23 0.004584110455606487 20 2 20.0 0.0
[request] 24 0.02028705925915408 20 2 20.0 0.0
[request] 25 0.00133210694949867 20 2 20.0 0.0
[request] 26 0.004534795055111138 20 2 20.0 0.0
[request] 27 0.003367402749263546 20 2 20.0 0.0
[request] 28 0.01527974430190909 20 2 20.0 0.0
[request] 29 0.0025785459584226444 20 2 20.0 0.0
[request] 30 0.008125271716598733 20 2 20.0 0.0
[request] 31 0.002707977183757116 20 2 20.0 0.0
[request] 32 0.012313104966600279 20 2 20.0 0.0
[request] 33 0.0013303491621723801 20 2 20.0 0.0
[request] 34 0.016993186366179684 20 2 20.0 0.0
[request] 35 5.242210367749108E-4 20 2 20.0 0.0
[request] 36 0.0028681524633436847 20 2 20.0 0.0
[request] 37 0.005784894023253304 20 2 20.0 0.0
[request] 38 0.0024768559678802456 20 2 20.0 0.0
[request] 39 0.010248605367135764 20 2 20.0 0.0
[request] 40 0.0020399931537264803 20 2 20.0 0.0
[request] 41 0.02232908458769004 20 2 20.0 0.0
[request] 42 0.003277629837422415 20 2 20.0 0.0
[request] 43 0.00964007108473983 20 2 20.0 0.0
[request] 44 0.0020161627034912333 20 2 20.0 0.0
[request] 45 0.0028835753612615578 20 2 20.0 0.0
[request] 46 0.01734435158511163 20 2 20.0 0.0
[request] 47 0.0 20 2 0.0 0.0
[request] 48 0.0 20 2 0.0 0.0
